"","day","ReportingCountry","cases","date"
"1",14,"BE",3,2022-05-14
"2",21,"BE",11,2022-05-21
"3",28,"BE",12,2022-05-28
"4",35,"BE",21,2022-06-04
"5",42,"BE",34,2022-06-11
"6",49,"BE",56,2022-06-18
"7",56,"BE",49,2022-06-25
"8",63,"BE",64,2022-07-02
"9",70,"BE",77,2022-07-09
"10",77,"BE",76,2022-07-16
"11",84,"BE",67,2022-07-23
"12",91,"BE",77,2022-07-30
"13",98,"BE",49,2022-08-06
"14",105,"BE",35,2022-08-13
"15",112,"BE",28,2022-08-20
"16",119,"BE",27,2022-08-27
"17",126,"BE",5,2022-09-03
"18",133,"BE",13,2022-09-10
"19",140,"BE",9,2022-09-17
"20",147,"BE",2,2022-09-24
"21",154,"BE",6,2022-10-01
"22",161,"BE",2,2022-10-08
"23",182,"BE",1,2022-10-29
"24",190,"BE",2,2022-11-06
"25",204,"BE",1,2022-11-20
"26",253,"BE",1,2023-01-08
"27",267,"BE",2,2023-01-22
"28",379,"BE",1,2023-05-14
"29",526,"BE",1,2023-10-08
"30",569,"BE",2,2023-11-20
"31",590,"BE",2,2023-12-11
"32",611,"BE",1,2024-01-01
"33",618,"BE",2,2024-01-08
"34",625,"BE",1,2024-01-15
"35",653,"BE",1,2024-02-12
"36",681,"BE",1,2024-03-11
"37",695,"BE",1,2024-03-25
"38",702,"BE",1,2024-04-01
"39",780,"BE",1,2024-06-18
"40",808,"BE",1,2024-07-16
"41",829,"BE",1,2024-08-06
"42",843,"BE",2,2024-08-20
"43",850,"BE",1,2024-08-27
"44",857,"BE",1,2024-09-03
"45",864,"BE",3,2024-09-10
"46",871,"BE",1,2024-09-17
"47",878,"BE",4,2024-09-24
"48",885,"BE",2,2024-10-01
"49",892,"BE",6,2024-10-08
"50",899,"BE",4,2024-10-15
"51",906,"BE",2,2024-10-22
"52",913,"BE",3,2024-10-29
"53",927,"BE",1,2024-11-12
"54",941,"BE",1,2024-11-26
"55",949,"BE",1,2024-12-04
"56",956,"BE",1,2024-12-11
"57",963,"BE",1,2024-12-18
"58",970,"BE",2,2024-12-25
"59",977,"BE",1,2025-01-01
"60",998,"BE",1,2025-01-22
"61",1005,"BE",3,2025-01-29
"62",1012,"BE",3,2025-02-05
"63",1019,"BE",1,2025-02-12
"64",1026,"BE",1,2025-02-19
"65",1033,"BE",1,2025-02-26
"66",1040,"BE",1,2025-03-05
"67",1061,"BE",1,2025-03-26
"68",1068,"BE",2,2025-04-02
"69",1075,"BE",1,2025-04-09
"70",0,"ES",3,2022-04-30
"71",7,"ES",14,2022-05-07
"72",14,"ES",52,2022-05-14
"73",21,"ES",97,2022-05-21
"74",28,"ES",112,2022-05-28
"75",35,"ES",239,2022-06-04
"76",42,"ES",340,2022-06-11
"77",49,"ES",470,2022-06-18
"78",56,"ES",602,2022-06-25
"79",63,"ES",666,2022-07-02
"80",70,"ES",772,2022-07-09
"81",77,"ES",720,2022-07-16
"82",84,"ES",723,2022-07-23
"83",91,"ES",554,2022-07-30
"84",98,"ES",489,2022-08-06
"85",105,"ES",335,2022-08-13
"86",112,"ES",223,2022-08-20
"87",119,"ES",186,2022-08-27
"88",126,"ES",125,2022-09-03
"89",133,"ES",94,2022-09-10
"90",140,"ES",52,2022-09-17
"91",147,"ES",41,2022-09-24
"92",154,"ES",30,2022-10-01
"93",161,"ES",18,2022-10-08
"94",168,"ES",10,2022-10-15
"95",175,"ES",13,2022-10-22
"96",182,"ES",8,2022-10-29
"97",190,"ES",6,2022-11-06
"98",197,"ES",6,2022-11-13
"99",204,"ES",4,2022-11-20
"100",211,"ES",3,2022-11-27
"101",218,"ES",4,2022-12-04
"102",225,"ES",4,2022-12-11
"103",232,"ES",3,2022-12-18
"104",239,"ES",1,2022-12-25
"105",246,"ES",1,2023-01-01
"106",253,"ES",4,2023-01-08
"107",260,"ES",5,2023-01-15
"108",267,"ES",8,2023-01-22
"109",274,"ES",7,2023-01-29
"110",281,"ES",6,2023-02-05
"111",288,"ES",3,2023-02-12
"112",302,"ES",2,2023-02-26
"113",309,"ES",2,2023-03-05
"114",316,"ES",1,2023-03-12
"115",323,"ES",3,2023-03-19
"116",344,"ES",1,2023-04-09
"117",351,"ES",1,2023-04-16
"118",358,"ES",2,2023-04-23
"119",386,"ES",1,2023-05-21
"120",428,"ES",1,2023-07-02
"121",435,"ES",1,2023-07-09
"122",442,"ES",2,2023-07-16
"123",449,"ES",2,2023-07-23
"124",456,"ES",1,2023-07-30
"125",463,"ES",7,2023-08-06
"126",470,"ES",9,2023-08-13
"127",477,"ES",4,2023-08-20
"128",484,"ES",6,2023-08-27
"129",491,"ES",7,2023-09-03
"130",498,"ES",10,2023-09-10
"131",505,"ES",7,2023-09-17
"132",512,"ES",6,2023-09-24
"133",519,"ES",15,2023-10-01
"134",526,"ES",15,2023-10-08
"135",533,"ES",8,2023-10-15
"136",540,"ES",12,2023-10-22
"137",548,"ES",14,2023-10-30
"138",555,"ES",10,2023-11-06
"139",562,"ES",18,2023-11-13
"140",569,"ES",18,2023-11-20
"141",576,"ES",12,2023-11-27
"142",583,"ES",15,2023-12-04
"143",590,"ES",15,2023-12-11
"144",597,"ES",21,2023-12-18
"145",604,"ES",15,2023-12-25
"146",611,"ES",16,2024-01-01
"147",618,"ES",15,2024-01-08
"148",625,"ES",17,2024-01-15
"149",632,"ES",15,2024-01-22
"150",639,"ES",15,2024-01-29
"151",646,"ES",17,2024-02-05
"152",653,"ES",14,2024-02-12
"153",660,"ES",18,2024-02-19
"154",667,"ES",15,2024-02-26
"155",674,"ES",14,2024-03-04
"156",681,"ES",13,2024-03-11
"157",688,"ES",12,2024-03-18
"158",695,"ES",7,2024-03-25
"159",702,"ES",7,2024-04-01
"160",709,"ES",7,2024-04-08
"161",716,"ES",6,2024-04-15
"162",723,"ES",11,2024-04-22
"163",730,"ES",10,2024-04-29
"164",737,"ES",10,2024-05-06
"165",744,"ES",16,2024-05-13
"166",751,"ES",12,2024-05-20
"167",758,"ES",11,2024-05-27
"168",766,"ES",8,2024-06-04
"169",773,"ES",4,2024-06-11
"170",780,"ES",4,2024-06-18
"171",787,"ES",6,2024-06-25
"172",794,"ES",5,2024-07-02
"173",801,"ES",2,2024-07-09
"174",808,"ES",9,2024-07-16
"175",815,"ES",11,2024-07-23
"176",822,"ES",6,2024-07-30
"177",829,"ES",5,2024-08-06
"178",836,"ES",21,2024-08-13
"179",843,"ES",14,2024-08-20
"180",850,"ES",12,2024-08-27
"181",857,"ES",13,2024-09-03
"182",864,"ES",12,2024-09-10
"183",871,"ES",13,2024-09-17
"184",878,"ES",6,2024-09-24
"185",885,"ES",11,2024-10-01
"186",892,"ES",23,2024-10-08
"187",899,"ES",14,2024-10-15
"188",906,"ES",19,2024-10-22
"189",913,"ES",18,2024-10-29
"190",920,"ES",22,2024-11-05
"191",927,"ES",25,2024-11-12
"192",934,"ES",22,2024-11-19
"193",941,"ES",23,2024-11-26
"194",949,"ES",16,2024-12-04
"195",956,"ES",13,2024-12-11
"196",963,"ES",12,2024-12-18
"197",970,"ES",11,2024-12-25
"198",977,"ES",14,2025-01-01
"199",984,"ES",10,2025-01-08
"200",991,"ES",18,2025-01-15
"201",998,"ES",15,2025-01-22
"202",1005,"ES",15,2025-01-29
"203",1012,"ES",7,2025-02-05
"204",1019,"ES",12,2025-02-12
"205",1026,"ES",16,2025-02-19
"206",1033,"ES",9,2025-02-26
"207",1040,"ES",15,2025-03-05
"208",1047,"ES",13,2025-03-12
"209",1054,"ES",9,2025-03-19
"210",1061,"ES",15,2025-03-26
"211",1068,"ES",7,2025-04-02
"212",1075,"ES",4,2025-04-09
"213",1082,"ES",2,2025-04-16
"214",1089,"ES",4,2025-04-23
"215",1096,"ES",2,2025-04-30
"216",1103,"ES",1,2025-05-07
"217",21,"IE",3,2022-05-21
"218",28,"IE",7,2022-05-28
"219",35,"IE",4,2022-06-04
"220",42,"IE",13,2022-06-11
"221",49,"IE",11,2022-06-18
"222",56,"IE",6,2022-06-25
"223",63,"IE",13,2022-07-02
"224",70,"IE",10,2022-07-09
"225",77,"IE",13,2022-07-16
"226",84,"IE",6,2022-07-23
"227",91,"IE",4,2022-07-30
"228",98,"IE",15,2022-08-06
"229",105,"IE",13,2022-08-13
"230",112,"IE",16,2022-08-20
"231",119,"IE",9,2022-08-27
"232",126,"IE",6,2022-09-03
"233",133,"IE",4,2022-09-10
"234",140,"IE",10,2022-09-17
"235",147,"IE",9,2022-09-24
"236",154,"IE",3,2022-10-01
"237",161,"IE",2,2022-10-08
"238",168,"IE",4,2022-10-15
"239",175,"IE",2,2022-10-22
"240",190,"IE",3,2022-11-06
"241",197,"IE",3,2022-11-13
"242",204,"IE",2,2022-11-20
"243",211,"IE",2,2022-11-27
"244",218,"IE",1,2022-12-04
"245",232,"IE",1,2022-12-18
"246",253,"IE",1,2023-01-08
"247",260,"IE",1,2023-01-15
"248",344,"IE",1,2023-04-09
"249",470,"IE",2,2023-08-13
"250",477,"IE",2,2023-08-20
"251",484,"IE",1,2023-08-27
"252",526,"IE",1,2023-10-08
"253",555,"IE",1,2023-11-06
"254",639,"IE",1,2024-01-29
"255",744,"IE",1,2024-05-13
"256",773,"IE",1,2024-06-11
"257",787,"IE",1,2024-06-25
"258",857,"IE",2,2024-09-03
"259",892,"IE",2,2024-10-08
"260",913,"IE",2,2024-10-29
"261",920,"IE",3,2024-11-05
"262",927,"IE",1,2024-11-12
"263",934,"IE",1,2024-11-19
"264",941,"IE",1,2024-11-26
"265",963,"IE",1,2024-12-18
"266",977,"IE",1,2025-01-01
"267",991,"IE",2,2025-01-15
"268",1005,"IE",3,2025-01-29
"269",1012,"IE",2,2025-02-05
"270",1019,"IE",1,2025-02-12
"271",1033,"IE",1,2025-02-26
"272",1040,"IE",2,2025-03-05
"273",1047,"IE",1,2025-03-12
"274",1054,"IE",1,2025-03-19
"275",1061,"IE",2,2025-03-26
"276",1068,"IE",3,2025-04-02
"277",1075,"IE",1,2025-04-09
"278",1082,"IE",3,2025-04-16
"279",1089,"IE",1,2025-04-23
"280",0,"NL",3,2022-04-30
"281",7,"NL",1,2022-05-07
"282",14,"NL",4,2022-05-14
"283",21,"NL",26,2022-05-21
"284",28,"NL",29,2022-05-28
"285",35,"NL",40,2022-06-04
"286",42,"NL",72,2022-06-11
"287",49,"NL",87,2022-06-18
"288",56,"NL",132,2022-06-25
"289",63,"NL",142,2022-07-02
"290",70,"NL",166,2022-07-09
"291",77,"NL",144,2022-07-16
"292",84,"NL",95,2022-07-23
"293",91,"NL",68,2022-07-30
"294",98,"NL",55,2022-08-06
"295",105,"NL",52,2022-08-13
"296",112,"NL",32,2022-08-20
"297",119,"NL",28,2022-08-27
"298",126,"NL",14,2022-09-03
"299",133,"NL",10,2022-09-10
"300",140,"NL",4,2022-09-17
"301",147,"NL",3,2022-09-24
"302",154,"NL",1,2022-10-01
"303",161,"NL",4,2022-10-08
"304",168,"NL",4,2022-10-15
"305",175,"NL",6,2022-10-22
"306",182,"NL",1,2022-10-29
"307",190,"NL",1,2022-11-06
"308",204,"NL",2,2022-11-20
"309",211,"NL",1,2022-11-27
"310",218,"NL",1,2022-12-04
"311",225,"NL",1,2022-12-11
"312",232,"NL",1,2022-12-18
"313",253,"NL",1,2023-01-08
"314",274,"NL",1,2023-01-29
"315",288,"NL",1,2023-02-12
"316",344,"NL",2,2023-04-09
"317",393,"NL",1,2023-05-28
"318",470,"NL",2,2023-08-13
"319",477,"NL",1,2023-08-20
"320",484,"NL",1,2023-08-27
"321",491,"NL",3,2023-09-03
"322",498,"NL",1,2023-09-10
"323",512,"NL",2,2023-09-24
"324",519,"NL",3,2023-10-01
"325",540,"NL",1,2023-10-22
"326",555,"NL",3,2023-11-06
"327",562,"NL",2,2023-11-13
"328",576,"NL",2,2023-11-27
"329",590,"NL",3,2023-12-11
"330",597,"NL",1,2023-12-18
"331",604,"NL",2,2023-12-25
"332",611,"NL",1,2024-01-01
"333",618,"NL",1,2024-01-08
"334",625,"NL",1,2024-01-15
"335",632,"NL",3,2024-01-22
"336",674,"NL",1,2024-03-04
"337",688,"NL",1,2024-03-18
"338",737,"NL",2,2024-05-06
"339",744,"NL",1,2024-05-13
"340",773,"NL",1,2024-06-11
"341",780,"NL",1,2024-06-18
"342",794,"NL",1,2024-07-02
"343",801,"NL",1,2024-07-09
"344",815,"NL",3,2024-07-23
"345",829,"NL",2,2024-08-06
"346",836,"NL",7,2024-08-13
"347",843,"NL",5,2024-08-20
"348",850,"NL",4,2024-08-27
"349",857,"NL",7,2024-09-03
"350",864,"NL",6,2024-09-10
"351",871,"NL",4,2024-09-17
"352",878,"NL",2,2024-09-24
"353",885,"NL",7,2024-10-01
"354",892,"NL",11,2024-10-08
"355",899,"NL",9,2024-10-15
"356",906,"NL",2,2024-10-22
"357",913,"NL",8,2024-10-29
"358",920,"NL",3,2024-11-05
"359",927,"NL",7,2024-11-12
"360",934,"NL",11,2024-11-19
"361",941,"NL",10,2024-11-26
"362",949,"NL",2,2024-12-04
"363",956,"NL",2,2024-12-11
"364",963,"NL",4,2024-12-18
"365",970,"NL",1,2024-12-25
"366",977,"NL",1,2025-01-01
"367",984,"NL",1,2025-01-08
"368",991,"NL",2,2025-01-15
"369",998,"NL",4,2025-01-22
"370",1005,"NL",4,2025-01-29
"371",1012,"NL",4,2025-02-05
"372",1019,"NL",2,2025-02-12
"373",1033,"NL",2,2025-02-26
"374",1040,"NL",4,2025-03-05
"375",1047,"NL",1,2025-03-12
"376",1054,"NL",1,2025-03-19
"377",1061,"NL",1,2025-03-26
"378",1068,"NL",5,2025-04-02
"379",1075,"NL",8,2025-04-09
"380",1082,"NL",7,2025-04-16
"381",1089,"NL",2,2025-04-23
"382",1096,"NL",6,2025-04-30
