"","X","countries","parameter","dX","dloglikelihoodd0","dloglikelihoodd1"
"1",1,"NL","gammai",0.01,-0.495744972040484,-1.07731044609511
"2",2,"NL","alpha",0.01,-0.505307113279059,-0.905447054665729
"3",3,"NL","waningnat",0.01,-1.18545437878129,-0.969153922690111
"4",4,"NL","waningvac",0.01,-1.24775940955851,-0.76414521731715
"5",5,"NL","turnover",0.01,-0.827479301837002,-0.550523876501757
"6",6,"NL","omega",0.01,-0.582543735083959,-0.939721578573085
"7",7,"NL","N",0.01,-0.489215319308641,-0.313543303700726
"8",8,"NL","r",0.01,-1.06166383449795,-0.835593429238429
"9",9,"NL","rdrift",0.01,-0.776179599123566,-0.688087044510098
"10",10,"NL","iota0",0.01,-0.568956655120587,-1.01938497359401
"11",11,"NL","iota1",0.01,-0.573170466176521,-0.559110642019277
"12",12,"NL","iota2",0.01,-0.953666226419273,-1.10663710783103
"13",13,"NL","iota3",0.01,-0.797534818447502,-0.50928976712396
"14",14,"NL","sampf",0.01,-0.508452776571289,-0.461226369714609
"15",15,"NL","ve1",0.01,-2.08811406451298,0.591518579745298
"16",16,"NL","ve",0.01,-0.928366941562103,-0.679402761983852
"17",17,"NL","initv",0.01,1.79511162881886,-3.88942290346961
"18",1,"NL","gammai",0.02,-0.447775720971435,-1.19990364341288
"19",2,"NL","alpha",0.02,0.763267559636574,-0.870907277454535
"20",3,"NL","waningnat",0.02,-0.985255204571331,-0.520583052305597
"21",4,"NL","waningvac",0.02,-0.991913349630977,-0.810622505068977
"22",5,"NL","turnover",0.02,-0.889827273087235,-0.776625572552234
"23",6,"NL","omega",0.02,-0.790433775052179,-0.823607295796478
"24",7,"NL","N",0.02,-1.06044490044121,-0.710778871334128
"25",8,"NL","r",0.02,-0.844885328148507,-1.09803699173494
"26",9,"NL","rdrift",0.02,-0.506239524198008,-0.688667539336166
"27",10,"NL","iota0",0.02,-0.844620108657523,-0.441737781498546
"28",11,"NL","iota1",0.02,-1.26079720086955,-1.06309031438934
"29",12,"NL","iota2",0.02,-0.133693175529174,-0.682073954081261
"30",13,"NL","iota3",0.02,-0.85235328654403,-1.23737368080083
"31",14,"NL","sampf",0.02,-0.965947480850218,-0.558212268802208
"32",15,"NL","ve1",0.02,-3.07378023985973,1.36474801216809
"33",16,"NL","ve",0.02,-0.936648640422845,-0.757809745763325
"34",17,"NL","initv",0.02,4.40861923235661,-6.09180968713565
"35",1,"NL","gammai",0.04,-0.381310138173035,-1.26339970762444
"36",2,"NL","alpha",0.04,2.68522260717975,4.52860991177681
"37",3,"NL","waningnat",0.04,-1.1024057769032,-1.13655032304973
"38",4,"NL","waningvac",0.04,-1.14169306667986,-0.739227260651546
"39",5,"NL","turnover",0.04,-0.974939232987936,-0.423698167471798
"40",6,"NL","omega",0.04,-0.787571164769361,-1.18224900923292
"41",7,"NL","N",0.04,-0.714870030534144,-0.900400858599255
"42",8,"NL","r",0.04,-0.563029747574888,-0.263176998649897
"43",9,"NL","rdrift",0.04,-0.31824811394722,-0.860928212734393
"44",10,"NL","iota0",0.04,-0.417281204512619,-0.772286104480486
"45",11,"NL","iota1",0.04,-1.39700138454987,-0.864433967693685
"46",12,"NL","iota2",0.04,-0.89204758409312,-0.448794399415988
"47",13,"NL","iota3",0.04,-0.149740828833842,-0.952482214070301
"48",14,"NL","sampf",0.04,-1.07384115820275,-0.479398853380872
"49",15,"NL","ve1",0.04,-5.55547727993337,3.86532927914027
"50",16,"NL","ve",0.04,-0.839746914445982,-0.850342326399186
"51",17,"NL","initv",0.04,9.95839492673031,-10.5657566374007
"52",1,"NL","gammai",0.08,-0.414543644151877,-1.14376189366885
"53",2,"NL","alpha",0.08,8.88994943740681,66.2604949276532
"54",3,"NL","waningnat",0.08,-1.02429843260279,-1.01191675484051
"55",4,"NL","waningvac",0.08,-0.981275227322499,-0.976681722679132
"56",5,"NL","turnover",0.08,-0.570096593385642,-0.794738317829683
"57",6,"NL","omega",0.08,-0.793228887023588,-0.527563996151002
"58",7,"NL","N",0.08,-0.459455458313982,-0.419413810633046
"59",8,"NL","r",0.08,-0.729298960143069,-0.645130168123387
"60",9,"NL","rdrift",0.08,-0.700663919628141,-1.28008602710793
"61",10,"NL","iota0",0.08,-0.430715901208373,-0.826796779817414
"62",11,"NL","iota1",0.08,-0.913631787471104,-0.723100993508638
"63",12,"NL","iota2",0.08,-1.31777403921194,-1.25494282384057
"64",13,"NL","iota3",0.08,-0.706494927653807,-1.27728228994772
"65",14,"NL","sampf",0.08,-2.01616963464528,0.644831163329286
"66",15,"NL","ve1",0.08,-9.23766573471653,8.69423514876405
"67",16,"NL","ve",0.08,-0.89581127078884,-0.745968104194617
"68",17,"NL","initv",0.08,20.9476067904262,-20.6602601488003
"69",1,"NL","gammai",0.16,-0.221550107786584,-1.26215611098314
"70",2,"NL","alpha",0.16,21.6927996116641,2188.65821713193
"71",3,"NL","waningnat",0.16,-0.902797312899452,-1.30389245686081
"72",4,"NL","waningvac",0.16,-0.821945586694483,-0.866696684976773
"73",5,"NL","turnover",0.16,-0.750172023034224,-1.10600080144377
"74",6,"NL","omega",0.16,-0.87857244808913,-1.07158698406158
"75",7,"NL","N",0.16,0.333947468728752,-1.04194437121203
"76",8,"NL","r",0.16,-0.484386488814948,-0.876054214306009
"77",9,"NL","rdrift",0.16,1.12923808971698,-1.20717152957502
"78",10,"NL","iota0",0.16,-0.596910688082062,-1.41582458473056
"79",11,"NL","iota1",0.16,-1.01656584164687,-0.912099353428516
"80",12,"NL","iota2",0.16,-0.582390529211693,-0.629747185357928
"81",13,"NL","iota3",0.16,-0.92871782312875,-0.941170639758525
"82",14,"NL","sampf",0.16,-3.35582718919954,2.34047345980116
"83",15,"NL","ve1",0.16,-17.6217308488059,19.1633139510374
"84",16,"NL","ve",0.16,-0.507303529339652,-0.635211692236567
"85",17,"NL","initv",0.16,45.4126152149767,-38.3470950612282
